allocation of annual,cash dividend per share,stock dividend per share,total,total cash dividend_Unit,shareholding ratio,issuing company,Industry
92,1.2,0,1.2,13.88,14.04,富邦金控,financial
93,1.6,0,1.6,18.48,14.04,富邦金控,financial
94,1.7,0,1.7,19.7,14.37,富邦金控,financial
95,1.15,0,1.15,13.32,15.01,富邦金控,financial
96,1,0,1,11.59,15.01,富邦金控,financial
97,1.5,0,1.5,17.39,15.01,富邦金控,financial
98,0,0,0,0,14.26,富邦金控,financial
99,2,0.5,2.5,23.15,14.21,富邦金控,financial
100,1,0.5,1.5,12.16,14.16,富邦金控,financial
101,1,0.5,1.5,12.76,14.07,富邦金控,financial
102,1,0,1,13.41,13.11,富邦金控,financial
103,1.5,0,1.5,20.12,13.11,富邦金控,financial
104,3,0,3,40.24,13.11,富邦金控,financial
105,2,0,2,26.83,13.11,富邦金控,financial
106,2,0,2,26.83,13.11,富邦金控,financial
107,2.3,0,2.3,30.85,13.11,富邦金控,financial
108,2,0,2,26.83,13.11,富邦金控,financial
109,2,0,2,26.83,13.11,富邦金控,financial
110,3,1,4,40.24,13.11,富邦金控,financial
108,10,2,12,80,20,台積電,semiconductor
109,10,4,14,90,30,台積電,semiconductor
110,10,6,16,100,60,台積電,semiconductor
108,4,1,5,20,10,中鋼,steel
109,3,1,4,25,13,中鋼,steel
110,2,2,4,30,15,中鋼,steel
