年,月,平均資產-新臺幣億元,平均淨值-新臺幣億元,稅前盈餘-新臺幣億元,資產報酬率(ROA)-%,淨值報酬率(ROE)-%
109,1,516280,40059,349,0.07,0.87
109,2,517810,40204,628,0.12,1.56
109,3,518596,39875,809,0.16,2.03
109,4,518810,39979,1114,0.21,2.79
109,5,520627,39989,1386,0.27,3.47
109,6,521723,39765,1644,0.32,4.13
109,7,524551,39971,1964,0.37,4.91
109,8,524684,40098,2245,0.43,5.6
109,9,525586,40134,2486,0.47,6.19
109,10,526932,40220,2725,0.52,6.78
109,11,530850,40455,2955,0.56,7.3
109,12,534080,40606,3127,0.59,7.7
110,1,558648,41397,319,0.06,0.77
110,2,559688,41406,577,0.1,1.39
110,3,560200,41696,898,0.16,2.15
110,4,561288,41688,1200,0.21,2.88
110,5,563344,41463,1456,0.26,3.51
110,6,564193,41597,1765,0.31,4.24
110,7,565271,41692,2100,0.37,5.04
110,8,566522,41746,2445,0.43,5.86
110,9,567551,41811,2696,0.48,6.45
110,10,569615,41843,2958,0.52,7.07
110,11,572049,41954,3195,0.56,7.62
