醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間,醫事機構種類
0145080011,衛生福利部花蓮醫院豐濱原住民分院,花蓮縣豐濱鄉豐濱村光豐路４１號,8358141,3470,1530,2022/02/08 23:47:23,PRESCRIPTION
0291010010,連江縣立醫院,連江縣南竿鄉復興村２１７號,623995,7930,3470,2022/02/08 23:47:23,HEATCH
2331200010,新北市坪林區衛生所,新北市坪林區坪林街１０４號,(02)26656272,1410,1440,2022/02/08 23:47:23,CHAIN
2331240014,新北市平溪區衛生所,新北市平溪區公園街１７號１樓,(02)24951015,0,190,2022/02/08 23:47:23,HEATCH
2331260016,新北市貢寮區衛生所,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,(02)24901431,530,1260,2022/02/08 23:47:23,PRESCRIPTION
2331290014,新北市烏來區衛生所,新北市烏來區新烏路５段１０９號,(02)26617200,230,340,2022/02/08 23:47:23,CHAIN
2333070010,新竹縣橫山鄉衛生所,新竹縣橫山鄉大肚村３鄰新興街１４１巷１０號,(03)5932004,1070,1240,2022/02/08 23:47:23,PRESCRIPTION
2333120015,新竹縣峨眉鄉衛生所,新竹縣峨眉鄉峨眉村峨眉街２鄰５號,(03)5800314,960,1970,2022/02/08 23:47:23,HEATCH
2333140017,新竹縣五峰鄉衛生所,新竹縣五峰鄉大隘村六鄰９９號,(03)5851005,900,830,2022/02/08 23:47:23,CHAIN
2334110013,宜蘭縣大同鄉衛生所,宜蘭縣大同鄉崙埤村朝陽４０號,(03)9801175,1160,590,2022/02/08 23:47:23,HEATCH
2335070018,苗栗縣卓蘭鎮衛生所,苗栗縣卓蘭鎮老庄里中正路１４２號,(04)25892027,1300,1130,2022/02/08 23:47:23,PRESCRIPTION
2335080014,苗栗縣大湖鄉衛生所,苗栗縣大湖鄉明湖村中原路８７號,(037)991034,140,1030,2022/02/08 23:47:23,COMPLEX
2335110017,苗栗縣南庄鄉衛生所,苗栗縣南庄鄉東村大同路１７號,(037)822024,50,1200,2022/02/08 23:47:23,PRESCRIPTION
2335150011,苗栗縣造橋鄉衛生所,苗栗縣造橋鄉造橋村１４鄰８－２號,(037)542755,880,1330,2022/02/08 23:47:23,CHAIN
2335160017,苗栗縣三灣鄉衛生所,苗栗縣三灣鄉三灣村親民路１７號,(037)831140,840,490,2022/02/08 23:47:23,HEATCH
2335170013,苗栗縣獅潭鄉衛生所,苗栗縣獅潭鄉新店村１３０之６號,(037)931309,610,2110,2022/02/08 23:47:23,PRESCRIPTION
2335180019,苗栗縣泰安鄉衛生所,苗栗縣泰安鄉清安村２鄰７２號,(037)941054,320,140,2022/02/08 23:47:23,COMPLEX
2336210025,臺中市和平區衛生所,臺中市和平區南勢里東關路３段１３２號,(04)25942781,2030,1430,2022/02/08 23:47:23,CHAIN
2336210034,臺中市和平區梨山衛生所,臺中市和平區梨山里中正路６８號,(04)25989540,1330,720,2022/02/08 23:47:23,COMPLEX
2338070010,南投縣鹿谷鄉衛生所,南投縣鹿谷鄉中正路二段２０號,(049)2752002,10,90,2022/02/08 23:47:23,CHAIN
